UH#,Location,Country,Latitude,Longitude,Start,End
579,"Prudhoe Bay, AK",United States of America (the),70.4,-148.527,6/28/1993,11/30/2018
592,"South Beach, OR",United States of America (the),44.625,-124.043,2/2/1967,11/30/2018
595,"Nome, AK",United States of America (the),64.5,-165.43,10/1/1992,11/30/2018
600,Ushuaia,Argentina,-54.805,-68.295,1/1/1996,11/30/2018
601,Esperanza,Argentina,-63.395,-56.995,2/24/1993,9/10/2005
654,Currimao,Philippines (the),17.988,120.488,10/10/2009,11/30/2018
655,Lubang,Philippines (the),13.82,120.21,6/12/2010,11/30/2018
680,Macquarie Is.,Australia,-54.483,158.967,12/29/1993,7/9/2008
684,Puerto Montt,Chile,-41.483,-72.967,4/3/1980,11/30/2018
699,Tanjong Pagar,Singapore,1.262,103.853,1/1/1984,2/28/2016
700,Faraday,Antarctica,-65.25,-64.267,10/15/1959,11/30/2018
701,Port Nolloth,South Africa,-29.25,16.867,1/4/1958,5/31/2016
702,Luderitz,South Africa,-26.65,15.15,8/11/1958,10/25/2015
703,Saldahna Bay,South Africa,-33.017,17.95,9/18/1973,10/31/2018
704,Cape Town,South Africa,-33.9,18.433,6/16/1967,10/31/2018
708,Salvador,Brazil,-12.973,-38.517,10/3/2004,11/30/2018
729,Mar del Plata,Argentina,-38.035,-57.53,3/24/2010,11/30/2018
731,Puerto Madryn,Argentina,-38.763,-65.032,3/15/2010,11/30/2018
737,San Andres,Colombia,12.583,-81.7,9/26/2012,11/30/2018
738,Santa Marta,Colombia,11.235,-74.222,10/1/2012,11/30/2018
739,El Porvenir,Panama,9.558,-78.948,8/23/2012,11/30/2018
752,"Fort Pulaski, GA",United States of America (the),32.033,-80.902,7/2/1935,11/30/2018
755,"Virginia Key, FL",United States of America (the),25.732,-80.162,1/1/1996,11/30/2018
762,"Pensacola, FL",United States of America (the),30.403,-87.213,5/2/1923,11/30/2018
767,"Galveston, P.Pier",United States of America (the),29.287,-94.79,8/22/1957,7/19/2011
775,"Galveston, Pier 21",United States of America (the),29.31,-94.793,1/2/1904,11/30/2018
776,Punta Cana,Dominican Republic (the),18.505,-68.375,6/19/2010,11/30/2018
777,Puerto Plata,Dominican Republic (the),19.798,-70.702,6/22/2010,11/30/2018
786,Roseau,Dominica,15.313,-61.39,5/17/2011,11/30/2018
789,Prickley Bay,Grenada,12.005,-61.765,5/11/2011,11/30/2018
799,Portu-Prince,Haiti,18.567,-72.35,12/1/2011,11/30/2018
800,Andenes,Norway,69.317,16.15,10/10/1991,10/31/2018
801,Honningsvag,Norway,70.983,25.983,6/2/1988,10/31/2018
802,Maloy,Norway,61.933,5.117,4/22/1986,10/31/2018
803,Rorvik,Norway,64.867,11.25,8/19/1969,10/31/2018
804,Tregde,Norway,58,7.567,10/5/1927,10/31/2018
805,Vardo,Norway,70.333,31.1,9/11/1947,10/31/2018
806,Nouakchott,Mauritania,17.99,-16.037,1/6/2007,2/8/2015
807,Alexandria,Egypt,31.212,29.923,10/1/2010,1/9/2016
808,Thule (Pituffik),Denmark,76,-68,9/19/2006,12/31/2018
809,Ittoqqortoormiit,Denmark,70.483,-21.983,10/16/2007,12/31/2018
816,Port Sonara,Cameroon,-4.007,9.127,6/24/2008,6/24/2011
818,Smogen,Sweden,58.35,11.215,1/1/2000,11/30/2018
819,Goteborgorsh.,Sweden,57.683,11.8,11/3/1967,11/30/2018
820,Nuuk,Denmark,64.172,-51.72,7/5/2014,12/31/2018
822,Brest,France,48.383,-4.5,1846-01-04,11/30/2018
824,Marseille,France,43.278,5.353,1849-11-02,11/30/2018
825,Cuxhaven,Germany,53.867,8.717,12/30/1917,12/31/2018
826,Stockholm,Sweden,59.325,18.082,1889-01-01,11/30/2018
829,Trieste,Italy,45.647,13.76,6/1/2009,11/7/2018
830,La Coruna,Spain,43.367,-8.4,3/1/1943,11/30/2018
833,Nain,Canada,56.55,-61.683,10/18/1963,11/30/2018
834,Malin Head,Ireland,55.367,-7.333,4/30/2008,11/30/2018
835,Castletownsend,Ireland,51.533,-9.183,12/17/2004,10/15/2018
836,Alert,Canada,82.492,-62.317,12/2/2008,10/31/2018
878,Bullen Bay,Curacao,12.187,-69.02,10/17/2013,11/30/2018
900,Inhambane,Mozambique,-23.868,35.377,5/8/2007,7/31/2014
906,Moulmein,Myanmar,16.465,97.622,12/1/2006,11/30/2018
907,Akyab (Sittwe),Myanmar,20.14,92.903,9/8/2006,11/30/2018
908,Port Blair,India,11.683,92.767,10/2/2011,11/30/2018
913,Telukdalam,Indonesia,0.555,97.822,8/27/2008,6/1/2015
914,Meulaboh,Indonesia,5.128,96.132,10/27/2008,7/31/2016
915,Chabahar,Iran (Islamic Republic of),25.297,60.603,11/1/2007,11/25/2018
920,Marion Island,South Africa,-46.867,37.867,9/27/2007,11/30/2018
922,Mtwara,"Tanzania, United Republic of",-10.283,40.183,10/28/2009,10/31/2014
